Fecha,Brent_USD_barril,TRM_COP_USD,Brent_en_COP,Precio_diesel_COP_galon,ICTC_pct
2022-09-01,85.14,4604.13,391996,9032,0.55
2022-10-01,92.81,4929.35,457493,9302,0.76
2022-11-01,86.97,4827.0,419804,9302,0.94
2022-12-01,85.65,4847.0,415146,9302,0.46
2023-01-01,85.46,4667.72,398903,9357,2.52
2023-02-01,83.45,4856.68,405290,9357,1.16
2023-03-01,79.89,4651.5,371608,9357,-0.04
2023-04-01,80.33,4695.5,377190,9357,-0.39
2023-05-01,72.6,4448.5,322961,9357,0.16
2023-06-01,75.41,4172.5,314648,9357,-0.3
2023-07-01,85.43,3919.5,334843,9357,-0.24
2023-08-01,86.83,4087.55,354922,9357,0.02
2023-09-01,92.2,4075.0,375715,9357,-0.17
2023-10-01,85.02,4115.5,349900,9357,0.12
2023-11-01,80.86,4007.57,324052,9357,-0.3
2023-12-01,77.04,3872.59,298344,9357,-0.2
2024-01-01,81.71,3895.5,318301,9358,2.04
2024-02-01,81.91,3920.51,321129,9517,1.49
2024-03-01,87.0,3857.0,335559,9517,-0.12
2024-04-01,86.33,3920.5,338457,9614,0.09
2024-05-01,81.11,3855.16,312692,9614,-0.05
2024-06-01,85.0,4148.65,352635,9659,0.36
2024-07-01,80.84,4047.59,327207,9659,-0.11
2024-08-01,76.93,4186.5,322067,9756,0.84
2024-09-01,71.77,4205.97,301862,10156,2.11
2024-10-01,72.81,4425.07,322189,10156,-0.21
2024-11-01,71.84,4432.5,318431,9756,0.19
2024-12-01,74.64,4401.96,328562,10556,1.57
